model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.7447916666666667,0.030900827029565266,0.7490842490842491,0.03469066112527631,0.7463917525773196,0.0490531020757539,0.7467340295809219,0.03220107451424343,0.8278459034183397,0.026889318302098095
Random Forest,0.7427083333333333,0.04187448175467039,0.7450290135396518,0.03996182270991407,0.7463917525773195,0.05631546508761925,0.7450865654574408,0.04416112023915788,0.807683125339121,0.046530640290053285
